layer,level,class,id,metric,value,tf_id,dist
1,landscape,NA,NA,frac_mn,1.1221813326335384,356,500
1,landscape,NA,NA,msidi,-0,356,500
1,landscape,NA,NA,para_mn,0.1053379400698705,356,500
1,landscape,NA,NA,shdi,0,356,500
2,landscape,NA,NA,frac_mn,1.0688514432919225,356,500
2,landscape,NA,NA,msidi,1.0312010154418434,356,500
2,landscape,NA,NA,para_mn,0.27731901596715897,356,500
2,landscape,NA,NA,shdi,1.193644493249799,356,500
1,landscape,NA,NA,frac_mn,1.1502694207772697,357,500
1,landscape,NA,NA,msidi,-0,357,500
1,landscape,NA,NA,para_mn,0.1745953005634287,357,500
1,landscape,NA,NA,shdi,0,357,500
2,landscape,NA,NA,frac_mn,1.0697708637742145,357,500
2,landscape,NA,NA,msidi,0.6746664852098395,357,500
2,landscape,NA,NA,para_mn,0.2994658840332316,357,500
2,landscape,NA,NA,shdi,0.7689171230676262,357,500
1,landscape,NA,NA,frac_mn,1.083329971917265,359,500
1,landscape,NA,NA,msidi,-0,359,500
1,landscape,NA,NA,para_mn,0.16430613969015712,359,500
1,landscape,NA,NA,shdi,0,359,500
2,landscape,NA,NA,frac_mn,1.068374705290583,359,500
2,landscape,NA,NA,msidi,0.25495073701826165,359,500
2,landscape,NA,NA,para_mn,0.28506870929255135,359,500
2,landscape,NA,NA,shdi,0.4188648273579756,359,500
1,landscape,NA,NA,frac_mn,1.1553518278658497,363,500
1,landscape,NA,NA,msidi,-0,363,500
1,landscape,NA,NA,para_mn,0.1450175940142954,363,500
1,landscape,NA,NA,shdi,0,363,500
2,landscape,NA,NA,frac_mn,1.063070003679073,363,500
2,landscape,NA,NA,msidi,0.007685135495861311,363,500
2,landscape,NA,NA,para_mn,0.3143479304261399,363,500
2,landscape,NA,NA,shdi,0.0285336231903823,363,500
1,landscape,NA,NA,frac_mn,1.1252814176017227,364,500
1,landscape,NA,NA,msidi,-0,364,500
1,landscape,NA,NA,para_mn,0.1403119605827547,364,500
1,landscape,NA,NA,shdi,0,364,500
2,landscape,NA,NA,frac_mn,1.075184450504518,364,500
2,landscape,NA,NA,msidi,0.7030339193159847,364,500
2,landscape,NA,NA,para_mn,0.2652206816792007,364,500
2,landscape,NA,NA,shdi,0.7333463341318888,364,500
1,landscape,NA,NA,frac_mn,1.1218497435978938,365,500
1,landscape,NA,NA,msidi,-0,365,500
1,landscape,NA,NA,para_mn,0.24294566006064877,365,500
1,landscape,NA,NA,shdi,0,365,500
2,landscape,NA,NA,frac_mn,1.0736422920823088,365,500
2,landscape,NA,NA,msidi,0.04163594957957713,365,500
2,landscape,NA,NA,para_mn,0.3153680510070754,365,500
2,landscape,NA,NA,shdi,0.11182957873149271,365,500
1,landscape,NA,NA,frac_mn,1.1108396674359624,368,500
1,landscape,NA,NA,msidi,-0,368,500
1,landscape,NA,NA,para_mn,0.19605959302495518,368,500
1,landscape,NA,NA,shdi,0,368,500
2,landscape,NA,NA,frac_mn,1.0698746037702656,368,500
2,landscape,NA,NA,msidi,1.0235423840304596,368,500
2,landscape,NA,NA,para_mn,0.2788278668833661,368,500
2,landscape,NA,NA,shdi,1.1801468126368668,368,500
1,landscape,NA,NA,frac_mn,1.1517439104270806,374,500
1,landscape,NA,NA,msidi,-0,374,500
1,landscape,NA,NA,para_mn,0.1136830090459829,374,500
1,landscape,NA,NA,shdi,0,374,500
2,landscape,NA,NA,frac_mn,1.0713117648453028,374,500
2,landscape,NA,NA,msidi,0.21057065128833877,374,500
2,landscape,NA,NA,para_mn,0.3234578966822047,374,500
2,landscape,NA,NA,shdi,0.4005409109399576,374,500
1,landscape,NA,NA,frac_mn,1.095145695995919,375,500
1,landscape,NA,NA,msidi,-0,375,500
1,landscape,NA,NA,para_mn,0.39981023376493013,375,500
1,landscape,NA,NA,shdi,0,375,500
2,landscape,NA,NA,frac_mn,1.0688028094221822,375,500
