tf_id,NDVI_median,NDVI_sd,GBNDVI_median,GBNDVI_sd,EVI2_median,EVI2_sd,GLI_median,GLI_sd,MNDVI_median,MNDVI_sd,NDBI_median,NDBI_sd
211,0.5219667049913339,0.23752381234003367,0.306231930430331,0.23480938567242512,0.33537240981517213,0.20079690239898745,0.12643299507483594,0.1116927812717482,0.2823994160904595,0.18974443907420768,-0.10787096035418424,0.1278777693986037
212,0.5175289400489372,0.1668337985873583,0.29103138293111763,0.1789936621059557,0.2715549069552809,0.1254135375823587,0.08862166291519202,0.06634751215466168,0.24545626102124782,0.15944238036438904,-0.07922282577028875,0.12737318262056724
214,0.49209616337769146,0.2153908133275502,0.24457609378209325,0.2502480268124939,0.27930037266493546,0.16779549793072054,0.09467496162761374,0.07323015988675788,0.27961962457807094,0.17989368828229013,-0.092091413524819,0.14188833944751672
215,0.516716543077586,0.1601153853514759,0.28665024661056043,0.17975443986449807,0.302788713991377,0.132822331809891,0.10004730376247807,0.07185538734758608,0.24738004207359182,0.1659363332103389,-0.061017105351297125,0.12571511966762314
216,0.6469116637521465,0.1593351460817708,0.41619182566762286,0.1622710476658888,0.394834894554859,0.15861392458838605,0.15547096944058297,0.09261771628169395,0.44052442547984044,0.20408503187295526,-0.23038035249913183,0.17632548053583189
217,0.5215462635603103,0.13769352033729876,0.30740519114066295,0.14041989867310659,0.2949772240519985,0.13539843198377086,0.09471566765139208,0.05717764922512693,0.2530563150724133,0.13473719671573398,-0.09927824057650297,0.10721103300925144
218,0.6719410418117135,0.17595857210268329,0.44009750749510357,0.21984869281033317,0.4707216625153484,0.193764906275041,0.21520415424250844,0.08305339825633676,0.41733454864222724,0.21062233838740166,-0.19868458663762226,0.15585341470224873
219,0.7100001432855904,0.16500002970543645,0.49375938964522686,0.17786706735377536,0.4796847984445793,0.16173576108099239,0.22072189826189917,0.10325101014257768,0.4521062736639089,0.17408098731862823,-0.23041028936599955,0.1324100544212597
220,0.3854155264605114,0.18961319228046866,0.13537296715338265,0.20508536204465141,0.20520395966456484,0.14712124676060132,0.06236179655243198,0.07313204573094478,0.17171144973941307,0.17833398476930457,-0.06208621715958656,0.14978702741302405
221,0.46500683985433894,0.24311974774336903,0.20598732234297482,0.2761750744569346,0.28413703348252106,0.2142490548168883,0.12701656254935537,0.09954558841255616,0.24360672407047917,0.23641648166924087,-0.08886035275774141,0.18375168172012243
222,0.5990542623796127,0.20580603040453513,0.36059403717199845,0.2306861000270843,0.37550928692726165,0.19469238861587493,0.155408168045815,0.10365676585441781,0.35567016516783073,0.19740424849716087,-0.1663489832828746,0.15585811288105783
224,0.7673883206085031,0.1484200389835834,0.572575716765037,0.1519642660509477,0.5865620997398372,0.17295894818955387,0.2691192297351193,0.10338544849642642,0.5515357144114789,0.15136341047587257,-0.3245215462219254,0.12788141774187545
225,0.6079530475359767,0.19128940319673818,0.39062848942513406,0.20000227664557516,0.39185466221142656,0.17392360556057906,0.15884219475235908,0.11063711328661051,0.3458869186363446,0.17410962204859687,-0.1541758694667039,0.12432821087652234
